id	vnum0	count0	vnum1	count1	vnum2	count2	vnum3	count3	vnum4	count4	cost	src_vnum	result_vnum	prob
1	0	0	0	0	0	0	0	0	0	0	600	0	0	100
2	0	0	0	0	0	0	0	0	0	0	1200	0	0	90
3	0	0	0	0	0	0	0	0	0	0	2500	0	0	90
4	0	0	0	0	0	0	0	0	0	0	5000	0	0	90
5	0	0	0	0	0	0	0	0	0	0	10000	0	0	80
6	0	0	0	0	0	0	0	0	0	0	20000	0	0	80
7	0	0	0	0	0	0	0	0	0	0	30000	0	0	60
8	0	0	0	0	0	0	0	0	0	0	45000	0	0	50
9	0	0	0	0	0	0	0	0	0	0	75000	0	0	40
10	0	0	0	0	0	0	0	0	0	0	1000	0	0	100
11	0	0	0	0	0	0	0	0	0	0	2000	0	0	90
12	0	0	0	0	0	0	0	0	0	0	4000	0	0	90
13	0	0	0	0	0	0	0	0	0	0	8000	0	0	90
14	0	0	0	0	0	0	0	0	0	0	13000	0	0	80
15	0	0	0	0	0	0	0	0	0	0	20000	0	0	80
16	0	0	0	0	0	0	0	0	0	0	40000	0	0	60
17	0	0	0	0	0	0	0	0	0	0	70000	0	0	50
18	0	0	0	0	0	0	0	0	0	0	120000	0	0	40
19	0	0	0	0	0	0	0	0	0	0	1200	0	0	100
20	0	0	0	0	0	0	0	0	0	0	2500	0	0	100
21	0	0	0	0	0	0	0	0	0	0	5000	0	0	100
22	0	0	0	0	0	0	0	0	0	0	10000	0	0	100
23	0	0	0	0	0	0	0	0	0	0	20000	0	0	80
24	0	0	0	0	0	0	0	0	0	0	30000	0	0	70
25	51001	15	0	0	0	0	0	0	0	0	45000	0	0	65
26	51001	30	0	0	0	0	0	0	0	0	90000	0	0	50
27	51001	50	0	0	0	0	0	0	0	0	150000	0	0	35
28	0	0	0	0	0	0	0	0	0	0	600	0	0	100
29	0	0	0	0	0	0	0	0	0	0	1200	0	0	90
30	0	0	0	0	0	0	0	0	0	0	2500	0	0	90
31	0	0	0	0	0	0	0	0	0	0	5000	0	0	90
32	0	0	0	0	0	0	0	0	0	0	10000	0	0	80
33	0	0	0	0	0	0	0	0	0	0	20000	0	0	80
34	0	0	0	0	0	0	0	0	0	0	30000	0	0	60
35	0	0	0	0	0	0	0	0	0	0	45000	0	0	50
36	0	0	0	0	0	0	0	0	0	0	75000	0	0	40
37	0	0	0	0	0	0	0	0	0	0	1000	0	0	100
38	0	0	0	0	0	0	0	0	0	0	2000	0	0	90
39	0	0	0	0	0	0	0	0	0	0	4000	0	0	90
40	0	0	0	0	0	0	0	0	0	0	8000	0	0	90
